Date,Time,Low-level Inflow Sonde,Mid-level Inflow Sonde,Beyond TPW Gradient,Jet Region (800-650mb) Average Dewpoint Depression,Jet Max Speed [m/s],Jet Core Pressure [mb],Quadrant Relative to Convection,Case,Primary Convective Type,Convective Lifecycle,Echo Type,Environment Falling In,Env't Falling In Notes,Environment Falling In Ambiguous,Region,Associated with a TC,Primary Convective Propagation,Environment Relative to Convective Pass,Direction Relative to Convection,Sfc Pressure [mb],Sfc Height [m],PBL Top [mb],PBL Top Height [m],Freezing Level [mb],Freezing Level Height [m],Upper Level Cap [mb],Upper Level Cap Height [m],M10 Celsius Level [mb],M20 Celsius Level [mb],M30 Celsius Level [mb],PBL RH [%],Mid Layer RH [%],Upper Layer RH [%],Deep Layer RH [%],Below FZL MUCAPE [J/kg],Above FZL MUCAPE [J/kg],Deep Layer MUCAPE [J/kg],MU CIN [J/kg],MU LCL [mb],MU EL [mb],MU Max LI [degC],MU Max LI Level [mb],MU Max LI Layer,Below FZL MLCAPE [J/kg],Above FZL MLCAPE [J/kg],Deep Layer MLCAPE [J/kg],ML CIN [J/kg],ML LCL [mb],ML EL [mb],ML Max LI [degC],ML Max LI Level [mb],ML Max LI Layer,SHARPpy Direct Method PBL Speed Shear [kts],SHARPpy Direct Method PBL Directional Shear [deg],SHARPpy Direct Method Mid Layer Speed Shear [kts],SHARPpy Direct Method Mid Layer Directional Shear [deg],SHARPpy Direct Method Upper Layer Speed Shear [kts],SHARPpy Direct Method Upper Layer Directional Shear [deg],SHARPpy Direct Method Deep Layer Speed Shear [kts],SHARPpy Direct Method Deep Layer Directional Shear [deg],10mb Interval Theta Gradient PBL Top [mb],10mb Interval Theta Gradient PBL RH [%],10mb Interval Theta Gradient Mid Layer RH [%],Max Profile Height [m],500m Bottom Cap Profile Height [m],500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg]
20170611,193029,No,No,,,,,Northeast,13,Organized,Mature,Stratiform,In Precip,,,Gulf,No,,,,,,,,582.2,4680.5,400.8,7614.3,448.1,361.3,--,,,75.4,,,,,,,,,,,,,,,,,,,,,,,,31.67,253.2,,,,,,9032.4,,,
20170611,193223,No,No,,,,,Northeast,13,Organized,Mature,Stratiform,In Precip,,,Gulf,No,,,,,,,,576.1,4755.2,400.4,7611.1,452.5,361.8,--,,,81.6,,,,,,,,,,,,,,,,,,,,,,,,32.72,254.1,,,,,,9019.6,,,
20170611,194957,No,No,Yes,11.67,11.61,688.8,Northwest,13,Organized,Mature,Stratiform,Clear Near,,,Gulf,No,,,,995.8,176.4,979.4,323.3,560,5037.7,402.9,7614.4,453.9,366.5,--,83,56.6,30.8,49.1,174.1,402.5,576.5,-33.7,958,--,-0.23,703,,48.4,158.5,206.8,-151.2,890.4,--,1.49,889.7,,3.48,333.4,9.64,228.3,13.49,276.6,22.96,267.1,,,,9082.7,499.8,21.08,251.7
20170611,195558,No,No,Yes,5.25,14.95,748.1,Northwest,13,Organized,Mature,Stratiform,Clear Near,,,Gulf,No,,,,1007.4,41.8,972.6,353,555.2,5072.3,401,7615.7,435,366.7,--,84.3,73.5,22.2,59,339.3,506,845.4,-5.1,969.8,--,0.58,969.7,,103.5,247.3,350.8,-56.5,910.2,--,0.01,715.7,,3.39,336.6,18.77,252.5,7.27,285.6,26.43,269.2,,,,9044.1,500.1,24.32,257.1
20170611,200348,No,No,,,,,Northwest,13,Organized,Mature,Stratiform,In Cloud,On edge of stratiform; skewT would indicate this is probably In Cloud,Yes,Gulf,No,Eastward,Unclear,West,999.5,158.3,973.1,394.7,571.4,4876.3,403,7613.4,445.2,364.4,--,86.7,85.4,59.1,76.7,242.2,331.2,573.4,-29.9,957.8,--,-0.16,851.6,,230.7,317.3,547.9,-19.9,921.9,--,-0.06,851.6,,4.86,127,18,290.2,3.17,317.6,15.59,288.9,,,,9044.1,498.4,22.98,292.9
20170611,200505,No,No,,,,,Northwest,13,Organized,Mature,Stratiform,In Cloud,"On edge of stratiform; skewT might show In Precip, might not",Yes,Gulf,No,,,,994.1,224.7,980.9,342.2,579.3,4776.2,403.6,7619.1,445.2,363.3,--,87,83.8,84.1,84,171.1,273.7,444.7,-25.7,879.5,--,-0.84,826.2,,118.9,181.9,300.8,-70.4,911.2,--,-0.61,740.5,,5.56,155.1,13.05,241.6,18.2,326.3,19.94,280.1,,,,9067.6,505.8,27.36,290.3
20170611,200935,No,No,,,,,Northeast,13,Organized,Mature,Stratiform,In Precip,,,Gulf,No,,,,,,,,556.3,5089.8,402.7,7618,450.9,359.9,--,,,85.1,,,,,,,,,,,,,,,,,,,,,,,,22.45,300.1,,,,,,9005,,,
20170611,202058,Yes,Yes,,,,,Southeast,13,Organized,Weakening,Stratiform,In Cloud,"On edge of stratiform; skewT might show In Precip, might not",Yes,Gulf,No,,,,1001,162.3,959.5,537.3,574,4866.1,404.3,7614.4,443.1,360.6,--,92.8,84.5,80,83.5,524.4,736.1,1260.4,-0.2,980.3,--,0.1,980.1,,290.6,496.2,786.8,-12.7,925.6,--,1.28,924.8,,6.5,212.9,7.06,332.1,25.41,301.8,32.78,294.9,,,,9096.3,499.7,33.1,304.7
20170611,204602,Yes,Yes,,,,,Southeast,13,Organized,Weakening,Stratiform,Clear Near,,,Gulf,No,Eastward,Before,East,995.2,156.8,970.4,380.7,539.5,5323.5,402.8,7618.5,420.9,359.6,--,89.5,64.4,47.3,60.7,493.3,462.3,955.6,-2.4,970.5,--,-0.39,917.3,,266.9,261.5,528.4,-34.7,910.6,--,1.2,910.4,,4.12,188.2,17.69,238.9,2.17,259.4,22.31,232.4,,,,9028.9,504.6,17.82,243.4
20210824,180143,No,No,Yes,19.66,14.74,720.22,Northeast,16,Organized,Mature,Convective,Clear Near,,,Caribbean,No,,,,1007.1,8.2,918.9,816.4,559.5,4956.4,397.9,7617.5,438.9,358.2,--,82.6,45.9,44.8,47.6,423.9,455.6,879.5,-0.9,937,--,0.15,935.2,,231.2,258.6,489.8,-7.7,904.5,--,-0.06,864.5,,8.61,116.2,19.21,238.5,15.77,87,14.64,151.1,,,,8626.33,517.1,13.06,156.2
20210824,183414,No,No,,,,,Northeast,16,Organized,Mature,Convective,In Precip,,,Caribbean,No,,,,1004.1,9.2,990.9,126.2,,,397.4,7620,,,--,92.7,,,,,,,,,,,,,,,,,,,,,,1.19,48.6,,,,,15.92,354.6,,,,9051.51,502,21.66,332.5
20210824,184134,No,No,,,,,Northwest,16,Organized,Mature,Convective,In Precip,,,Caribbean,No,,,,1000.6,6.5,981,180,554.8,4953.7,394.4,7620,440.9,350.9,--,99.4,97.3,93.5,96,144.1,140.7,284.8,-0.1,938.8,347.7,-2.23,507,,110.9,109.3,220.2,-2,940.6,369.9,-1.93,507,,0.39,37.2,18.45,59.2,9.09,267.8,11.52,36.6,,,,8957.84,545.4,18.74,2.7
20210824,190312,No,No,Yes,21.43,16.23,757.97,Northwest,16,Organized,Mature,Convective,Clear Near,,,Caribbean,No,,,,1007,8.1,907.9,921.1,549.1,5098.7,397.5,7619,436.7,363.9,--,88,37.8,54,48.9,657.7,589,1246.6,0,945.1,--,--,--,,505,453.9,958.9,0,926.6,--,--,--,,6.05,142.9,14.48,242.3,4.01,157.3,17.33,206.4,,,,9012.1,510,15.55,201.1
20210824,190929,No,No,Yes,21.35,15.71,757.12,Northwest,16,Organized,Mature,Stratiform,Clear Near,,,Caribbean,No,,,,999,51.1,912.4,849.5,557.3,4957.4,396.1,7619.1,440.7,360.7,--,89.5,31.3,50.9,40,530.7,559,1089.7,-0.1,940.9,--,0,938.3,,381.1,412.8,793.9,-0.3,916.3,--,0.13,912.4,,8.58,136.2,16.57,239.8,6.78,160,21.98,196.4,,,,9038.08,531.5,20.4,203.2
20210824,192748,No,No,,,,,Northwest,16,Organized,Weakening,Stratiform,In Precip,"Or heavily In Cloud, based on skewT and APR plots",,Caribbean,No,,,,,,,,563.4,4888.1,397.4,7621.4,435.3,356.6,--,,,94,,,,,,,,,,,,,,,,,,,,,,,,21.92,250.5,,,,,,9047.73,,,
20210824,193957,No,No,,,,,Southwest,16,Organized,Weakening,Stratiform,In Precip,"Or heavily In Cloud, based on skewT and APR plots",Yes,Caribbean,No,,,,1004.3,7.7,950.3,495,561.3,4897.8,397.2,7614.9,437.1,350.3,--,91.8,,95.3,,,521,,,,,,,,,378.7,,,,,,,,2.7,169.7,,,15.43,352,2.96,290.7,,,,9041.33,495,4.93,318.7
20210824,194743,No,No,,,,,Southwest,16,Organized,Weakening,Stratiform,In Precip,"Or heavily In Cloud, based on skewT and APR plots",,Caribbean,No,,,,,,,,553.6,5006.7,396.5,7617.4,434.3,350.2,--,,,92.1,,,,,,,,,,,,,,,,,,,,,,,,4.88,281.1,,,,,,9038.81,,,
20210824,201249,No,No,Yes,22.24,15.72,765.55,Northwest,16,Organized,Weakening,Stratiform,Clear Near,,,Caribbean,No,,,,,,,,577,4636.8,395,7620.2,436.3,355,--,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,15.63,238.3,,,,,,8992.86,,,
